Transaction_Date,Transaction_Ref,Description,Withdrawal,Deposit,Balance
2024-08-31,716480,WITHDRAWAL,0.0,716480.0,0.0
2024-08-31,2463086,DEBIT,49.0,0.0,27.05
2024-08-31,924013418,CREDIT,0.0,924013418.0,0.0
2024-09-03,1652685,DEPOSIT,0.0,1652685.0,0.0
2024-09-04,2408334,DEBIT,19.0,0.0,210.92
2024-09-05,1750308,DEBIT,29.0,0.0,181.92
2024-09-07,950049737,DEBIT,49.0,0.0,132.92
2024-09-07,176547,DEPOSIT,0.0,176547.0,0.0
2024-09-10,950011200,DEBIT,49.0,0.0,583.92
2024-09-14,1280650,DEBIT,49.0,0.0,534.92
2024-09-19,1996163,DEBIT,19.0,0.0,515.92
2024-09-21,2296850,DEBIT,10.0,0.0,505.92
2024-09-21,2311487,DEPOSIT,0.0,2311487.0,0.0
2024-09-21,2332549,WITHDRAWAL,0.0,350.0,0.0
2024-09-21,2653407,DEBIT,49.0,0.0,1106.92
2024-09-24,1217302,WITHDRAWAL,0.0,110.0,0.0
2024-09-24,1231613,WITHDRAWAL,0.0,170.0,0.0
2024-09-25,876779,WITHDRAWAL,0.0,100.0,0.0
2024-09-26,1656355,WITHDRAWAL,0.0,105.0,0.0
2024-09-27,1807670,DEBIT,49.0,0.0,572.92
2024-09-27,2376226,WITHDRAWAL,0.0,165.0,0.0
2024-09-28,719244,WITHDRAWAL,0.0,100.0,0.0
2024-09-28,1981388,WITHDRAWAL,0.0,150.0,0.0
2024-09-30,924013100,CREDIT,0.0,924013100.0,0.0
2024-10-02,508057,WITHDRAWAL,0.0,75.0,0.0
2024-10-02,1169105,CASH,0.0,1169105.0,17394529.0
2024-10-02,1391590,WITHDRAWAL,0.0,340.0,0.0
2024-10-02,1490495,WITHDRAWAL,0.0,530.0,0.0
2024-10-02,1575586,WITHDRAWAL,0.0,100.0,0.0
2024-10-02,1655150,WITHDRAWAL,0.0,735.0,0.0
2024-10-02,1904011,WITHDRAWAL,0.0,800.0,0.0
2024-10-02,2004878,DEPOSIT,0.0,2004878.0,0.0
2024-10-02,2200791,DEBIT,49.0,0.0,13504.09
2024-07-02,1140595,WITHDRAWAL,0.0,20.0,0.0
2024-07-02,1485889,WITHDRAWAL,0.0,100.0,0.0
2024-07-03,1435547,WITHDRAWAL,0.0,1435547.0,0.0
2024-07-03,1426789,DEPOSIT,0.0,1426789.0,0.0
2024-07-03,1457563,WITHDRAWAL,0.0,250.0,0.0
2024-07-03,1462668,WITHDRAWAL,0.0,2860.0,0.0
2024-07-03,1633732,WITHDRAWAL,0.0,400.0,0.0
2024-07-03,1827793,DEPOSIT,0.0,1827793.0,0.0
2024-07-03,1956257,WITHDRAWAL,0.0,350.0,0.0
2024-07-03,2029522,WITHDRAWAL,0.0,130.0,0.0
2024-07-03,2066070,WITHDRAWAL,0.0,480.0,0.0
2024-07-03,2081091,WITHDRAWAL,0.0,440.0,0.0
2024-07-04,514237,DEPOSIT,0.0,514237.0,0.0
2024-07-04,630193,WITHDRAWAL,0.0,1500.0,0.0
2024-07-04,1180655,WITHDRAWAL,0.0,60.0,0.0
2024-07-07,2196423,DEBIT,199.0,0.0,1396.91
2024-07-08,1370170,WITHDRAWAL,0.0,400.0,0.0
2024-07-10,1547284,WITHDRAWAL,0.0,300.0,0.0
2024-07-10,2216927,DEPOSIT,0.0,2216927.0,0.0
2024-07-10,2219486,WITHDRAWAL,0.0,2219486.0,0.0
2024-07-10,2261256,DEPOSIT,0.0,2261256.0,0.0
2024-07-10,2261875,WITHDRAWAL,0.0,2261875.0,0.0
2024-07-11,817257,WITHDRAWAL,0.0,817257.0,6111372162863228.0
2024-07-11,1482863,DEPOSIT,0.0,1482863.0,0.0
2024-07-11,1490783,WITHDRAWAL,0.0,40.0,0.0
2024-07-12,705735,DEPOSIT,0.0,705735.0,0.0
2024-07-12,715115,WITHDRAWAL,0.0,715115.0,0.0
2024-07-12,1094630,WITHDRAWAL,0.0,800.0,0.0
2024-07-12,1338776,WITHDRAWAL,0.0,60.0,0.0
2024-07-13,920256,DEPOSIT,0.0,920256.0,0.0
2024-07-13,1106776,WITHDRAWAL,0.0,150.0,0.0
2024-07-13,1144235,WITHDRAWAL,0.0,418.0,0.0
2024-07-13,2096738,WITHDRAWAL,0.0,100.0,0.0
2024-07-13,2230859,WITHDRAWAL,0.0,450.0,0.0
2024-07-14,950042840,WITHDRAWAL,0.0,350.0,0.0
2024-07-14,49640,WITHDRAWAL,0.0,49640.0,0.0
2024-07-14,943060,WITHDRAWAL,0.0,200.0,0.0
2024-07-17,1435906,DEPOSIT,0.0,1435906.0,0.0
